env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,13.8,-1.2,1.64717,0,0,3,,,2.8,1,1.3,1.5,0.394444,1,1.5,10,10,7.9,5.9,1.3,1,1.15333,3.25833,10,10,8.8,6.42444,2.84,1.08222
open_space,17.5,-2.2,3.71866,0,0,3,,,6.5,9.5,2,2.3,0.5,10,4.1,2.3,2.2,2.1,2,2.4,9.5,10,6.05,2.82222,2.28889,2.45556,2.08222,4.06667,9.5
open_space,16.7,-11.7,1.02932,0,0,3,,,13,3.1,3,10,0,5.8,10,10,9.4,8,3.5,3,3.1,7.35,10,10,9.7,8.32222,5.59111,3.12,3.90889
open_space,1.6,-19.5,0.0323424,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,10.2,0.3,0.2,1.9,0.666667,10,10,1.9,1.4,0.3,0.2,0.2,0.3,10,10,3.80256,1.54444,0.591111,0.204444,0.211111,0.888372
open_space,12.5,-18.1,5.10381,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,5.8,1.6,1.7,4.1,0.322222,1.7,4.1,7.8,10,10,4.3,1.7,1.6,2.41111,6.84889,8.65909,10,10,6.26154,2.47111,1.63778
open_space,1,-10.4,2.98644,1,1,3,0|1|1；0|0|0；0|0|0,0|0；1|0；2|0,2.4,0.8,1.4,1,0.416667,0.8,1,4.9,10,10,10,1.4,0.8,0.837778,1.80667,9.04687,10,10,10,2.92581,0.973333
open_space,17.4,-19,0.828949,0,0,3,,,11,2.3,0.7,10,0.572222,3.4,10,10,0.9,0.7,0.7,1,2.3,5.37667,10,10,2.22791,0.762222,0.786667,1.81111,2.61778
open_space,6.8,-8.2,2.1258,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.9,6.8,8.3,6.6,0,6.8,6.6,7.8,10,10,10,8.3,8,8.18537,6.86667,8.71667,10,10,10,8.97083,8.31778
open_space,12.2,-19.4,2.97152,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,10.3,0.5,9.2,0.3,0.472222,0.5,0.3,0.3,0.4,1.5,9.2,10,10,1.34848,0.357778,0.302222,0.615556,7.04889,9.55714,10,10
open_space,2.8,-11.9,5.76518,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,15.2,8.1,2.7,10,0.158333,10,10,10,3,2.6,2.7,5.2,8.1,10,10,10,4.88444,2.69333,3.44889,7.50889,8.82917
