env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums, controlGraph, robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,15.7,-14.5,4.00549,0,0,3,,,15.2,5.2,10,4,0,5.2,5.2,4,4,6.1,10,10,6.9,5.65778,5.70889,4.34889,4.64222,7.7,10,10,8.18333
open_space,16.7,-0.8,2.58528,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,10.6,0.6,0.6,10,0.438889,1.1,10,10,3.6,2.7,0.7,0.6,0.6,2.53448,10,10,5.395,3.11333,1.17111,0.62,0.755556
open_space,3.4,-12.4,4.42618,0,0,3,,,11.5,3.6,3.2,8.3,0,7.3,8.3,10,10,6.8,3.4,3.2,3.6,7.52889,9.03333,10,10,8.18,4.40444,3.29778,5.42667
open_space,13.7,-8,4.69353,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,16,8.8,10,6,0,8.8,6,6,7.8,7.8,10,10,10,9.34286,6.81333,6.64222,8.55333,8.46585,10,10,10
open_space,19.6,-6.1,4.88529,0,0,3,,,10.1,0.1,10,0.1,0.494444,0.1,0.1,0.1,0.1,6,10,10,0.4,0.157778,0.1,0.1,1.61333,7.28889,10,10,1
open_space,13.4,-16.2,5.50001,0,0,3,,,9.8,3.5,3.5,6.3,0,4.9,6.3,8.9,10,10,5,3.5,3.5,6.31333,7.04222,9.42857,10,10,6.74167,3.93556,3.90889
open_space,3.2,-18.7,3.07055,0,0,3,,,5.6,1.5,4.6,1,0.391667,1.5,1,1,1.3,10,10,4.6,3,2.56667,1.15778,1.07778,2.83409,10,10,6.47391,3.50444
open_space,9.5,-4.3,4.79585,0,0,3,,,19.3,10,6.3,5.4,0,10,10,5.4,4.1,4.1,6.3,9.3,10,10,10,7.072,4.45111,4.77778,8.85455,9.59444,10
open_space,19,-17.1,0.386048,0,0,3,,,2.5,0.7,0.8,1.7,0.541667,0.8,1.7,10,7.1,2.8,1.9,0.8,0.7,1.03778,3.685,10,8.32857,4.06222,2.57333,1.07556,0.704444
open_space,7.7,-8.5,3.15909,0,0,3,,,18.3,7.5,8.3,10,0,7.5,10,10,10,10,8.3,8.3,7.5,8.2561,10,10,10,10,8.84286,8.85882,8.2381
