env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,10.3,-15.9,0.638118,1,0,19.4,0,7.91429,4.7,0,10,10,10,6.5,3.9,3.8,4.7,9.4,10,10,10,7.91429,4.66222,4.02222,7.41136,9.56333
open_space,13.2,-7.3,3.43844,1,1,17.4,0,6.71111,7.4,0,10,10,7.4,6.5,6.8,7.1,7.4,10,10,10,8.45238,6.71111,8.12222,7.33333,8.44483,10
open_space,15.5,-8.6,3.63235,1,0,14.4,0,4.32667,9.5,0,10,9.2,4.4,4.2,4.8,8.4,9.5,10,10,9.5,5.83333,4.32667,6.86,8.65778,9.75,10
open_space,6.1,-5.5,4.41793,1,0,16.7,0,7.0439,5.9,0,10,10,10,5.6,5.3,6,5.9,6.7,10,10,10,7.0439,5.45778,6.82889,6.08222,8.0037
open_space,2.8,-8.5,1.12084,1,1,11.9,0,2.6,9.65,0.158333,8.2,2.9,2.6,2.8,5.9,10,10,9.3,8.52444,4.35778,2.66889,3.68889,7.61667,10,10,9.65
open_space,1.2,-11.5,2.05807,1,0,3.2,0,1.1,4.09545,0.391667,1,1,1.1,3.3,9.3,10,10,2.1,1.38222,1.02,1.70444,7.60667,9.6375,10,10,4.09545
open_space,1.3,-19.5,0.227244,1,1,1.6,0,1.12222,0.2,0.683333,10,5.1,1.3,0.8,0.2,0.2,0.2,0.3,10,6.6,2.19778,1.12222,0.355556,0.2,0.235556,1.15625
open_space,3.5,-4.3,0.616782,1,0,10.6,0,3.4,8.40909,0,4.2,4.1,3.4,3.3,4,10,10,7.2,5.11111,4.31333,4.08222,3.46889,5.89167,10,10,8.40909
open_space,7.2,-18.9,4.66708,1,1,10.8,0,10,0.913333,0.416667,0.8,1.1,10,10,10,7,1.2,0.8,0.866667,2.51136,10,10,10,7.95814,3.35111,0.913333
open_space,16.8,-11.3,0.103302,1,0,12.9,0,10,3.12444,0.0583333,2.9,4.6,10,10,10,8.4,3.8,2.9,3.41111,6.46957,10,10,10,8.84615,6.38889,3.12444
open_space,13.2,-17.9,5.17967,1,1,9.1,0,7.3,1.84667,0.294444,2,5.6,7.3,10,10,4.1,1.9,1.8,3.00889,6.62889,8.39583,10,10,6.03125,2.54889,1.84667
open_space,19.5,-11.2,6.05965,1,1,0.9,0,0.7,0.237778,0.483333,0.2,0.2,0.7,10,10,8.8,0.3,0.2,0.2,0.346667,1.68333,10,10,9.27895,3.42222,0.237778
open_space,8.4,-15.1,4.9356,1,1,14.6,0,10,4.80222,0,4.7,8.6,10,10,9.8,8.2,5.5,4.6,5.90667,9.26667,10,10,9.9,8.56667,7.62889,4.80222
open_space,11.3,-17.6,6.05455,1,0,12.5,0,10,2.1,0.25,8.4,9.9,10,10,4,2.2,2.1,2.5,8.73778,9.95,10,10,6.12,2.73778,2.17556,4.08667
open_space,3.2,-7.6,6.25747,1,0,14.4,0,3.41111,10,0,10,7.4,4.4,3,3,4.1,10,10,10,8.2439,6.71333,3.41111,3.30667,6.07333,10,10
open_space,4.1,-11.3,4.34947,1,0,14.3,0,10,3.9,0,8.4,9.2,10,10,9.8,4.2,3.9,4.3,8.62,9.58,10,10,9.8,5.84,4.00222,6.09333
open_space,15.8,-17.2,4.90599,1,1,6.5,0,4,2.62222,0.180556,2.5,3.9,4,7,10,10,3,2.5,3.12889,4.08667,4.88444,8.26667,10,10,4.89512,2.62222
open_space,15.4,-2.7,3.3955,1,0,9.9,0,4.46222,2.6,0.177778,10,10,5,4.3,2.9,2.5,2.6,4.9,10,10,6.74706,4.46222,4.02,2.59111,3.28222,6.8
open_space,3.1,-16.7,4.00893,1,1,7.5,0,4.6,2.9,0.0583333,3,3,4.6,10,10,3.8,2.9,2.9,3.25778,3.48667,6.55833,10,10,5.82727,3.15111,3.35778
open_space,1.5,-15.2,1.48293,1,1,11.3,0,1.3,10,0.358333,2,1.3,1.3,1.7,4.5,5.9,10,10,3.85937,1.52889,1.39778,3.02889,4.84889,7.4125,10,10
open_space,14,-15.3,5.6161,1,1,13.6,0,9.2,4.4,0,5.7,5.7,9.2,10,10,5.7,4.4,4.4,6.11556,6.78444,9.5,10,10,7.236,4.71778,5.23556
open_space,9.3,-5.5,5.25915,1,0,15.5,0,5.5,10,0,10,10,5.5,5.3,6.2,9.1,10,10,10,10,6.92273,5.5,8.24615,9.32051,10,10
open_space,6.3,-15.8,5.26398,1,0,13.9,0,10,4,0,4.6,10,10,10,6.3,6.1,4,3.9,6.33056,10,10,10,7.57692,6.34,5.11111,4.05111
open_space,7.8,-6.7,2.56049,1,0,16.6,0,10,6.5,0,7.6,7.8,10,10,10,7.9,6.5,6.6,7.96889,8.61,10,10,10,8.7875,6.81556,8.03333
open_space,4.9,-5,4.38986,1,0,15.2,0,6.7,4.7,0,10,10,10,5.1,4.8,5,4.7,5.2,10,10,10,6.7,4.93778,5.75778,4.83556,6.85833
open_space,15.2,-12.6,1.15999,1,1,14.8,0,8.7,4.5,0,10,10,10,7.8,7.1,4.9,4.5,4.8,10,10,10,8.7,7.28444,6.61111,4.61333,6.51628
open_space,12,-5,5.36402,1,0,14.9,0,4.9,10,0,7.8,7.7,4.9,4.8,6,10,10,10,8.59062,8.09333,5.83556,5.1,7.572,10,10,10
open_space,12.6,-18.1,5.10305,1,1,9.3,0,7.7,1.63778,0.322222,1.7,4.1,7.7,10,10,4.3,1.7,1.6,2.40667,6.76889,8.6,10,10,6.27692,2.47333,1.63778
open_space,16.9,-1,2.39843,1,0,10.8,0,5.80645,0.8,0.508333,1.2,10,10,3.8,2.8,1.1,0.8,0.8,2.69744,10,10,5.80645,3.09111,1.99556,0.877778,0.902222
open_space,14.5,-13.9,1.88527,1,1,16.6,0,5.97778,5.5,0,10,10,6.6,5.8,5.9,5.2,5.5,10,10,10,7.85185,5.97778,6.71111,5.35778,6.92683,10
open_space,17.7,-19.3,3.8028,1,1,1.1,0,0.5,1.64571,0.611111,0.4,0.4,0.5,2,2.5,10,10,0.6,0.468889,0.417778,0.922222,2.12889,4.35366,10,10,1.64571
open_space,8.1,-0.5,3.24376,1,0,10.4,0,4.925,0.3,0.472222,7.9,10,10,3,0.4,0.3,0.3,0.4,8.66667,10,10,4.925,0.786667,0.313333,0.337778,2.28889
open_space,16.5,-9.9,4.63977,1,1,13,0,3.2,9.925,0,5,3.2,3.2,4.2,9.7,10,10,9.8,8.12821,3.74444,3.46222,7.06905,9.785,10,10,9.925
open_space,16,-19.6,5.66144,1,0,6.4,0,6.3,0.1,0.494444,0.1,3.7,6.3,10,0.4,0.1,0.1,0.1,1.08,4.53333,7.84,10,1.62222,0.162222,0.1,0.1
open_space,2.5,-9.5,5.03972,1,1,15.1,0,9.35122,2.4,0.216667,10,10,10,7.4,2.6,2.3,2.4,5.1,10,10,10,9.35122,3.89111,2.36222,3.24,7.00714
open_space,16.2,-9.1,3.83028,1,1,13.5,0,3.5,10,0,10,5.6,3.5,3.5,4.5,8.9,10,10,10,7.32105,4.15111,3.75778,7.24667,9.20294,10,10
open_space,10.9,-15.1,2.2572,1,0,14.6,0,4.6,10,0,10,7.4,4.6,4.6,5.9,8.8,10,10,10,8.53333,5.46444,4.93778,8.3,9.12286,10,10
open_space,2.2,-8.2,0.821179,1,1,12,0,2,10,0.263889,8,2.8,2,2,2.9,10,10,10,8.60256,5.38222,2.21111,2.26889,4.875,10,10,10
open_space,5,-2.1,2.76923,1,1,12.1,0,10,1.9,0.280556,4.8,5.2,10,10,4.9,2.1,1.9,2.1,4.92667,6.8,10,10,6.85385,2.86444,1.94444,2.94444
open_space,5,-16.5,2.67826,1,1,8.6,0,3.2,7.04571,0,4.8,3.6,3.2,3.4,7.1,10,10,5.4,4.94444,4.72889,3.29333,4.48667,8.37778,10,10,7.04571
open_space,1.2,-19.2,6.19369,1,1,2.2,0,1.16889,0.5,0.672222,5.1,10,1.6,1,0.8,0.5,0.5,0.6,6.56667,10,3.3,1.16889,0.986667,0.577778,0.531111,1.34889
open_space,18.7,-2.8,5.24766,1,0,3.2,0,1.2,3.94,0.525,1,1,1.2,2.6,3,10,10,2,1.32222,1.02667,1.79333,2.69333,4.88444,10,10,3.94
open_space,11.5,-18.5,1.89168,1,1,11.3,0,1.22667,8.6,0.372222,10,3.9,1.3,1.2,1.3,2.6,8.6,10,10,5.8,2.03556,1.22667,1.66889,6.60667,9.23333,10
open_space,9.3,-19.5,5.44965,1,1,10.2,0,10,0.2,0.483333,0.3,3.2,10,10,9.1,0.3,0.2,0.2,0.58,4.05,10,10,9.45455,1.62222,0.215556,0.2
open_space,13.6,-14.3,3.42162,1,0,15.6,0,5.6,10,0,6.2,5.4,5.6,6.1,6.3,10,10,10,7.62857,5.58889,6.78444,6.30889,7.61081,10,10,10
open_space,7.3,-15.1,6.12573,1,0,15.7,0,8.21944,4.6,0,10,10,10,7.2,7.1,4.7,4.6,5.7,10,10,10,8.21944,7.48,5.68889,4.85778,7.22963
open_space,8.4,-16.4,5.19643,1,0,13.3,0,10,3.39556,0,3.7,10,10,10,8.6,7.3,3.5,3.3,5.57727,10,10,10,9.23333,8.31556,4.60889,3.39556
open_space,8.2,-18.6,3.94454,1,1,3.1,0,1.6,3.76889,0.380556,1.1,1.1,1.6,10,10,10,8,1.5,1.22,1.22889,3.17895,10,10,10,8.62632,3.76889
open_space,16.4,-6.9,4.00356,1,0,13.3,0,3.3,10,0,10,4.4,3.3,3.3,5,6.7,10,10,10,6.29667,3.59333,3.82667,6.61333,7.72727,10,10
open_space,12.8,-18.2,4.56725,1,0,8.4,0,6.9,1.82667,0.333333,1.5,1.9,6.9,8.6,10,10,2.5,1.5,1.58222,3.44222,7.31111,9.26364,10,10,4.56786,1.82667
open_space,4.5,-12.5,0.242438,1,1,15.1,0,4.47333,7.4,0,10,10,5.1,4.3,4.4,7.2,7.4,10,10,10,6.75455,4.47333,5.60222,7.49333,8.39032,10
open_space,3.5,-3.5,4.23325,1,0,13.5,0,5.5814,3.3,0,7.1,10,10,3.7,3.3,3.5,3.3,3.5,8.31111,10,10,5.5814,3.39778,3.98667,3.39778,4.56
open_space,11.2,-10.9,3.02384,1,0,18.8,0,8.8,10,0,10,8.9,8.8,8.6,8.5,10,10,10,10,9.32727,9.11389,9.12,8.91,10,10,10
open_space,16.8,-18.8,4.0625,1,1,2.6,0,1.5,2.26,0.463889,0.9,0.9,1.5,2.9,4.8,10,7.3,1.1,0.955556,1.06889,2.49333,3.48889,6.60952,10,7.9,2.26
open_space,18,-6.5,4.66913,1,1,11.7,0,1.7,10,0.305556,2.5,1.7,1.7,2.3,6.3,8.5,10,10,4.57879,1.94889,1.85778,4.30222,6.90444,9.16667,10,10
open_space,19.4,-8.7,1.27843,1,1,10.3,0,10,0.3,0.472222,0.9,9.6,10,10,0.6,0.3,0.3,0.3,6.54444,9.8,10,10,1.56923,0.393333,0.3,0.488889
open_space,9.4,-18.6,4.25735,1,1,3.6,0,2.4,1.83778,0.380556,1.1,1.2,2.4,10,10,10,3.5,1.2,1.12222,1.54222,4.56667,10,10,10,8.25476,1.83778
open_space,19.5,-1.4,0.994731,1,1,2.4,0,2.2,0.2,0.677778,0.3,1.2,2.2,10,0.8,0.2,0.2,0.2,0.824444,1.51333,4.12593,10,2.41818,0.371111,0.2,0.233333
open_space,18,-1.7,2.5944,1,0,9.1,0,3.35556,1.5,0.569444,2.8,10,7.6,2,1.7,1.7,1.5,1.5,4.97083,10,8.675,3.35556,1.76222,1.95111,1.55333,1.94
open_space,18.5,-7.5,5.7784,1,0,3.8,0,2.4,2.18,0.369444,1.2,1.2,2.4,7.6,10,10,4.5,1.4,1.23333,1.61111,5.80889,8.525,10,10,6.37778,2.18
open_space,2.4,-18.4,0.0417798,1,1,4.9,0,2.42444,1.3,0.547222,10,10,3,2.2,1.8,1.3,1.3,1.9,10,10,4.92647,2.42444,2.22889,1.42667,1.47111,3.73056
open_space,13.5,-10.9,1.73918,1,0,20,0,9.10526,6.3,0,10,10,10,8.8,7.7,6.2,6.3,10,10,10,10,9.10526,9.05556,6.56,7.50465,10
open_space,4.9,-6.2,0.768487,1,0,13.5,0,4.7,9.31429,0,6,6,4.7,4.7,6.5,10,10,8.8,6.81111,6.55778,5.32889,5.20444,7.95263,10,10,9.31429
open_space,18.1,-17.1,5.10699,1,0,4.3,0,1.7,2.66667,0.480556,1.7,1.6,1.7,4.1,10,7,2.8,2.6,2.33556,1.63778,2.42,6.10714,10,8.12857,4.01111,2.66667
open_space,6.3,-18.3,0.292248,1,1,9.9,0,6.23556,1.5,0.347222,10,10,7,5,1.6,1.4,1.5,2.9,10,10,8.19583,6.23556,2.49333,1.43778,1.89778,4.94286
open_space,19.6,-6.1,5.68393,1,1,0.2,0,0.1,0.153333,0.494444,0.1,0.1,0.1,6,10,10,0.3,0.1,0.1,0.1,1.72444,7.29091,10,10,1.1,0.153333
open_space,7.4,-0.5,5.72677,1,0,10.3,0,0.3,10,0.472222,1.2,0.3,0.3,0.3,0.5,7.4,10,10,2.7,0.566667,0.3,0.366667,3.28889,8.36875,10,10
open_space,15.3,-5.8,5.75002,1,0,10.8,0,5.6,6.83333,0,4.4,4.5,5.6,5.8,10,10,10,5.2,4.56889,5.63778,5.81778,7.15,10,10,10,6.83333
open_space,10.9,-16.8,5.35904,1,1,12.9,0,10,2.9,0.0583333,3.6,8.8,10,10,10,4.9,2.9,2.9,6.16,9.10541,10,10,10,6.735,3.53111,3.07333
open_space,16,-16.2,5.23874,1,1,7.8,0,4.3,3.6,0,3.8,3.7,4.3,10,10,7.1,3.6,3.5,4.36667,3.82889,6.09231,10,10,8.25556,4.7,3.62
open_space,16.5,-19.2,3.66069,1,1,1.6,0,0.6,2.51852,0.45,0.5,0.5,0.6,1.8,3.7,10,10,1,0.657778,0.506667,0.875556,3.14222,5.48571,10,10,2.51852
open_space,0.3,-14.8,5.82691,1,0,5.4,0,0.126667,0.2,0.494444,10,10,0.2,0.1,0.1,0.1,0.2,5.2,10,10,0.644444,0.126667,0.1,0.106667,2.36667,6.76977
open_space,15.7,-6.9,5.31464,1,0,12,0,4.8,8.42727,0,4.1,4,4.8,6.7,8.1,10,10,7.2,5.03556,4.19333,6.50889,7.02889,8.90714,10,10,8.42727
open_space,9.5,-10.3,1.43335,1,1,19.3,0,9.3,10,0,10,9.4,9.3,9.5,9.4,10,10,10,10,9.66429,9.48387,9.71667,9.55172,10,10,10
open_space,0.5,-14.9,0.980776,1,1,10.3,0,0.3,8.6,0.472222,1.5,0.4,0.3,0.3,0.5,4.9,8.6,10,2.96667,0.602222,0.302222,0.357778,2.28667,6.02444,9.21667,10
open_space,14,-9.5,6.12637,1,0,15.1,0,9.3,7.03778,0,5.7,7,9.3,10,10,10,9.9,5.8,6.01556,8.80606,9.48437,10,10,10,9.9,7.03778
open_space,18.6,-4.9,5.24636,1,0,3.5,0,1.3,4.10833,0.383333,1.1,1.1,1.3,4.3,5.5,10,10,2.2,1.45556,1.13111,2.03778,4.85556,7.05625,10,10,4.10833
open_space,7.3,-13.9,4.61163,1,0,15.8,0,10,6.89778,0,5.8,7.5,10,10,10,7.1,7.1,5.8,6.22667,8.53125,10,10,10,8.11282,7.62444,6.89778
open_space,6.1,-4.6,2.34446,1,1,12.6,0,8.2,4.4,0,5.9,5.9,8.2,10,10,6.4,4.4,4.4,6.42222,6.54889,8.96,10,10,7.83889,4.98222,4.88222
open_space,2.1,-12.3,4.44963,1,1,12.2,0,10,1.9,0.280556,7.2,8.5,10,10,3.9,2,1.9,2.2,7.64667,9.15385,10,10,5.93684,2.55111,1.95778,3.47333
open_space,9.9,-11.3,1.44548,1,0,19.7,0,9.06923,9.8,0,10,9.8,9.7,8.5,8.4,9.9,9.8,10,10,9.9125,9.77826,9.06923,8.81951,9.96,9.8619,10
open_space,9.2,-12.6,2.36885,1,0,17.1,0,7.1,10,0,9,9,7.1,7.1,10,10,10,10,9.33704,9.33077,7.94667,7.97333,10,10,10,10
open_space,11,-17.6,3.28549,1,0,12.1,0,2.1,10,0.25,2.6,2.1,2.1,3.5,8.8,10,10,10,4.55366,2.23111,2.53333,6.89111,9.25909,10,10,10
open_space,5.6,-0.4,6.28127,1,1,10.2,0,0.2,10,0.483333,0.3,0.2,0.2,0.3,5.4,7.6,10,10,0.952273,0.208889,0.206667,0.815556,6.02222,8.6,10,10
open_space,14.1,-1.5,2.1708,1,0,11.3,0,10,1.3,0.358333,1.6,6.8,10,10,5.7,2.3,1.3,1.3,2.76,8.05,10,10,7.07333,4.61111,1.62889,1.35556
open_space,17.2,-10.4,0.0928957,1,0,12.5,0,10,2.70222,0.180556,2.5,3.9,10,10,10,9.3,3.3,2.5,2.92222,5.88462,10,10,10,9.4963,6.11333,2.70222
open_space,14.3,-2,2.54742,1,0,11.8,0,7.93043,1.8,0.291667,3.2,10,10,6.6,5.4,2.2,1.8,1.8,5.12083,10,10,7.93043,5.68,3.64889,1.88889,2.24667
open_space,17.4,-9.6,5.05789,1,0,9.4,0,2.4,8.15,0.216667,2.6,2.3,2.4,5.3,10,10,10,7,3.79333,2.35778,3.30444,8.84889,10,10,10,8.15
open_space,5.9,-5,0.290136,1,0,15,0,5,10,0,5.5,4.8,5,5.7,5.9,10,10,10,7.12424,4.96222,6.13778,5.89111,7.29744,10,10,10
open_space,13.8,-14,4.56964,1,0,11.7,0,5.9,6.97778,0,5.7,6,5.9,7.4,10,10,9.7,5.8,6.04222,6.92,6.25333,8.48333,10,10,9.8,6.97778
open_space,16.5,-14.9,5.10911,1,0,8.3,0,3.5,4.92444,0,3.5,3.2,3.5,8.4,10,10,5.2,4.8,4.57778,3.28,4.87333,8.95,10,10,6.83077,4.92444
