Episode:  1091 | Steps:  32 | Reward:    25.83 | A_Loss: -5.9874 | C_Loss: 7.3890
Episode:  1092 | Steps: 223 | Reward:   -74.03 | A_Loss: -6.0768 | C_Loss: 7.6954
Episode:  1093 | Steps: 238 | Reward:   -36.27 | A_Loss: -6.2939 | C_Loss: 7.4224
Episode:  1094 | Steps:  68 | Reward:     2.06 | A_Loss: -6.3397 | C_Loss: 7.6293
Episode:  1095 | Steps: 109 | Reward:    77.36 | A_Loss: -6.4780 | C_Loss: 7.2930
Episode:  1096 | Steps: 121 | Reward:    61.06 | A_Loss: -6.5224 | C_Loss: 7.4267
Episode:  1097 | Steps: 111 | Reward:   119.08 | A_Loss: -6.6921 | C_Loss: 7.3639
Episode:  1098 | Steps: 264 | Reward:   -39.41 | A_Loss: -6.7912 | C_Loss: 7.3674
Episode:  1099 | Steps: 263 | Reward:    34.50 | A_Loss: -6.9817 | C_Loss: 7.3493
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1100 | Steps: 403 | Reward:    96.36 | A_Loss: -7.1704 | C_Loss: 7.3012
Episode:  1101 | Steps:  98 | Reward:    75.82 | A_Loss: -7.2959 | C_Loss: 7.2095
Episode:  1102 | Steps: 311 | Reward:  -345.17 | A_Loss: -7.3828 | C_Loss: 7.3264
Episode:  1103 | Steps: 236 | Reward:   -24.16 | A_Loss: -7.5057 | C_Loss: 7.4779
Episode:  1104 | Steps:  77 | Reward:    85.72 | A_Loss: -7.6463 | C_Loss: 7.3618
Episode:  1105 | Steps:  49 | Reward:    80.41 | A_Loss: -7.6674 | C_Loss: 7.2213
Episode:  1106 | Steps: 149 | Reward:   143.16 | A_Loss: -7.6549 | C_Loss: 7.2860
Episode:  1107 | Steps: 117 | Reward:     4.56 | A_Loss: -7.7276 | C_Loss: 7.4803
Episode:  1108 | Steps: 194 | Reward:     3.48 | A_Loss: -7.8579 | C_Loss: 7.2387
Episode:  1109 | Steps: 185 | Reward:    13.37 | A_Loss: -7.9666 | C_Loss: 7.3248
Episode:  1110 | Steps:  43 | Reward:    39.11 | A_Loss: -8.0051 | C_Loss: 7.3926
Episode:  1111 | Steps:  46 | Reward:    64.65 | A_Loss: -8.0677 | C_Loss: 7.3349
Episode:  1112 | Steps:  29 | Reward:    38.09 | A_Loss: -8.2440 | C_Loss: 7.3455
Episode:  1113 | Steps: 137 | Reward:  -185.27 | A_Loss: -8.1937 | C_Loss: 7.5327
Episode:  1114 | Steps: 168 | Reward:    68.98 | A_Loss: -8.2766 | C_Loss: 7.3473
Episode:  1115 | Steps:  45 | Reward:    10.31 | A_Loss: -8.3506 | C_Loss: 7.1751
Episode:  1116 | Steps:  80 | Reward:    83.01 | A_Loss: -8.4099 | C_Loss: 7.3963
Episode:  1117 | Steps: 270 | Reward:   -48.92 | A_Loss: -8.4100 | C_Loss: 7.5434
Episode:  1118 | Steps: 152 | Reward:   179.05 | A_Loss: -8.5566 | C_Loss: 7.3352
Episode:  1119 | Steps:  26 | Reward:    26.06 | A_Loss: -8.6173 | C_Loss: 7.5547
Episode:  1120 | Steps: 151 | Reward:    -7.52 | A_Loss: -8.6577 | C_Loss: 7.4725
Episode:  1121 | Steps: 232 | Reward:   137.36 | A_Loss: -8.8007 | C_Loss: 7.3574
Episode:  1122 | Steps: 213 | Reward:    51.49 | A_Loss: -8.8781 | C_Loss: 7.6545
Episode:  1123 | Steps: 126 | Reward:    13.74 | A_Loss: -8.9817 | C_Loss: 7.5807
Episode:  1124 | Steps:  22 | Reward:    11.04 | A_Loss: -9.1162 | C_Loss: 7.2607
Episode:  1125 | Steps: 237 | Reward:  -270.25 | A_Loss: -9.1711 | C_Loss: 7.3805
Episode:  1126 | Steps: 135 | Reward:   110.55 | A_Loss: -9.2430 | C_Loss: 7.6932
Episode:  1127 | Steps: 109 | Reward:   143.23 | A_Loss: -9.2938 | C_Loss: 7.5151
Episode:  1128 | Steps:  95 | Reward:   137.10 | A_Loss: -9.3549 | C_Loss: 7.6282
Episode:  1129 | Steps: 315 | Reward:  -239.78 | A_Loss: -9.5746 | C_Loss: 7.4071
Episode:  1130 | Steps: 150 | Reward:   111.46 | A_Loss: -9.7087 | C_Loss: 7.4051
Episode:  1131 | Steps: 161 | Reward:   221.47 | A_Loss: -9.8665 | C_Loss: 7.4566
Episode:  1132 | Steps: 256 | Reward:  -353.85 | A_Loss: -10.0205 | C_Loss: 7.5526
Episode:  1133 | Steps: 358 | Reward:    33.09 | A_Loss: -10.2000 | C_Loss: 7.6004
Episode:  1134 | Steps: 199 | Reward:  -135.72 | A_Loss: -10.4047 | C_Loss: 7.8224
Episode:  1135 | Steps: 129 | Reward:   111.85 | A_Loss: -10.4833 | C_Loss: 7.5139
Episode:  1136 | Steps: 176 | Reward:   -73.78 | A_Loss: -10.5197 | C_Loss: 7.6181
Episode:  1137 | Steps: 170 | Reward:   175.71 | A_Loss: -10.6372 | C_Loss: 7.7322
Episode:  1138 | Steps: 162 | Reward:   -45.47 | A_Loss: -10.8223 | C_Loss: 7.6803
Episode:  1139 | Steps: 202 | Reward:    82.79 | A_Loss: -10.8890 | C_Loss: 7.6604
Episode:  1140 | Steps: 351 | Reward:     2.26 | A_Loss: -11.0243 | C_Loss: 7.6208
Episode:  1141 | Steps: 160 | Reward:   213.59 | A_Loss: -11.1876 | C_Loss: 7.9558
Episode:  1142 | Steps: 191 | Reward:   145.39 | A_Loss: -11.3156 | C_Loss: 7.6049
Episode:  1143 | Steps: 277 | Reward:   166.01 | A_Loss: -11.4603 | C_Loss: 7.6070
Episode:  1144 | Steps: 212 | Reward:    51.91 | A_Loss: -11.6173 | C_Loss: 7.7870
Episode:  1145 | Steps: 236 | Reward:   -77.42 | A_Loss: -11.7697 | C_Loss: 7.6672
Episode:  1146 | Steps: 359 | Reward:   -27.57 | A_Loss: -11.9093 | C_Loss: 7.7444
Episode:  1147 | Steps:  92 | Reward:   139.15 | A_Loss: -12.0443 | C_Loss: 7.6817
Episode:  1148 | Steps: 105 | Reward:    93.02 | A_Loss: -12.1905 | C_Loss: 7.6126
Episode:  1149 | Steps: 222 | Reward:   -65.21 | A_Loss: -12.2226 | C_Loss: 7.8067
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1150 | Steps: 120 | Reward:    90.18 | A_Loss: -12.3222 | C_Loss: 7.8292
Episode:  1151 | Steps:  22 | Reward:    35.33 | A_Loss: -12.4360 | C_Loss: 7.1597
Episode:  1152 | Steps: 237 | Reward:    29.66 | A_Loss: -12.4268 | C_Loss: 7.8401
Episode:  1153 | Steps: 256 | Reward:   -47.13 | A_Loss: -12.6214 | C_Loss: 7.8509
Episode:  1154 | Steps:  47 | Reward:    10.28 | A_Loss: -12.7598 | C_Loss: 7.9669
Episode:  1155 | Steps: 287 | Reward:  -177.74 | A_Loss: -12.8473 | C_Loss: 7.7642
Episode:  1156 | Steps: 184 | Reward:   -87.64 | A_Loss: -12.9447 | C_Loss: 7.8989
Episode:  1157 | Steps: 166 | Reward:   191.36 | A_Loss: -13.0076 | C_Loss: 7.5904
Episode:  1158 | Steps: 191 | Reward:   -20.15 | A_Loss: -13.2102 | C_Loss: 7.5713
Episode:  1159 | Steps: 193 | Reward:     9.83 | A_Loss: -13.2788 | C_Loss: 7.6234
Episode:  1160 | Steps: 128 | Reward:    30.59 | A_Loss: -13.2983 | C_Loss: 7.5421
Episode:  1161 | Steps: 324 | Reward:  -260.84 | A_Loss: -13.4690 | C_Loss: 7.7454
Episode:  1162 | Steps: 315 | Reward:   -87.23 | A_Loss: -13.5930 | C_Loss: 7.6405
Episode:  1163 | Steps:  40 | Reward:    31.43 | A_Loss: -13.7513 | C_Loss: 7.3275
Episode:  1164 | Steps: 131 | Reward:   122.25 | A_Loss: -13.6877 | C_Loss: 7.8661
Episode:  1165 | Steps: 351 | Reward:   -60.34 | A_Loss: -13.7764 | C_Loss: 7.8083
Episode:  1166 | Steps: 336 | Reward:  -494.97 | A_Loss: -13.8715 | C_Loss: 7.8283
Episode:  1167 | Steps: 143 | Reward:   118.17 | A_Loss: -13.9554 | C_Loss: 7.8240
Episode:  1168 | Steps: 104 | Reward:   119.88 | A_Loss: -13.9867 | C_Loss: 7.8013
Episode:  1169 | Steps: 352 | Reward:   -55.59 | A_Loss: -14.0442 | C_Loss: 7.8726
Episode:  1170 | Steps: 167 | Reward:    22.48 | A_Loss: -14.0493 | C_Loss: 8.0704
Episode:  1171 | Steps:  73 | Reward:    73.91 | A_Loss: -14.0980 | C_Loss: 7.8981
Episode:  1172 | Steps: 219 | Reward:   -93.33 | A_Loss: -14.1445 | C_Loss: 7.9620
Episode:  1173 | Steps:  79 | Reward:    72.95 | A_Loss: -14.1367 | C_Loss: 8.2498
Episode:  1174 | Steps: 260 | Reward:   -70.58 | A_Loss: -14.2072 | C_Loss: 8.0182
Episode:  1175 | Steps: 228 | Reward:   175.59 | A_Loss: -14.1913 | C_Loss: 7.9816
Episode:  1176 | Steps: 269 | Reward:   165.67 | A_Loss: -14.2429 | C_Loss: 8.0263
Episode:  1177 | Steps:  53 | Reward:    43.34 | A_Loss: -14.2432 | C_Loss: 8.2218
Episode:  1178 | Steps:  60 | Reward:    51.14 | A_Loss: -14.2985 | C_Loss: 7.7973
Episode:  1179 | Steps: 159 | Reward:   222.66 | A_Loss: -14.3432 | C_Loss: 8.0962
Episode:  1180 | Steps: 220 | Reward:   120.23 | A_Loss: -14.4726 | C_Loss: 8.2025
Episode:  1181 | Steps: 222 | Reward:  -195.35 | A_Loss: -14.5022 | C_Loss: 8.1485
Episode:  1182 | Steps: 324 | Reward:  -126.33 | A_Loss: -14.5832 | C_Loss: 7.9445
Episode:  1183 | Steps:  98 | Reward:   156.27 | A_Loss: -14.6172 | C_Loss: 8.3814
Episode:  1184 | Steps: 265 | Reward:    76.50 | A_Loss: -14.6615 | C_Loss: 8.1940
Episode:  1185 | Steps: 199 | Reward:  -178.42 | A_Loss: -14.7083 | C_Loss: 8.1263
Episode:  1186 | Steps:  80 | Reward:   113.41 | A_Loss: -14.8438 | C_Loss: 7.9561
Episode:  1187 | Steps: 123 | Reward:    29.83 | A_Loss: -14.7876 | C_Loss: 8.1856
Episode:  1188 | Steps: 214 | Reward:   212.58 | A_Loss: -14.8849 | C_Loss: 8.3989
Episode:  1189 | Steps:  39 | Reward:    61.75 | A_Loss: -14.9767 | C_Loss: 8.1458
Episode:  1190 | Steps:  68 | Reward:   -47.65 | A_Loss: -14.8971 | C_Loss: 8.3768
Episode:  1191 | Steps: 235 | Reward:   172.41 | A_Loss: -14.9551 | C_Loss: 8.1268
Episode:  1192 | Steps:  49 | Reward:    35.02 | A_Loss: -15.1245 | C_Loss: 8.2027
Episode:  1193 | Steps: 194 | Reward:   171.17 | A_Loss: -15.0522 | C_Loss: 8.2509
Episode:  1194 | Steps:  55 | Reward:    30.29 | A_Loss: -15.1624 | C_Loss: 7.8941
Episode:  1195 | Steps: 196 | Reward:   238.88 | A_Loss: -15.2150 | C_Loss: 8.3599
