Wall time,Step,Value
1777349572.4266794,439,88.4205093383789
1777349580.1552882,440,86.2714614868164
1777349613.5217083,443,87.6406478881836
1777349636.2231963,444,84.76264190673828
1777349641.473663,445,87.90594482421875
1777349649.436339,446,88.03230285644531
1777349657.2542412,447,88.34828186035156
1777349679.45041,449,88.29933166503906
1777349751.8548877,451,87.26224517822266
1777349758.2696648,452,87.78458404541016
1777349795.633163,454,90.72305297851562
1777349809.513099,455,88.5001449584961
1777349820.0571818,456,87.60611724853516
1777349857.467872,459,87.32149505615234
1777349870.1832047,460,86.53799438476562
1777349886.278103,462,82.37152862548828
1777349899.6838684,463,82.83087921142578
1777349922.4284258,465,82.73269653320312
1777349929.5444083,466,83.5911865234375
1777349946.8159728,468,82.5749282836914
1777349968.672729,470,83.65511322021484
1777349980.7813296,471,83.84030151367188
1777349989.2099862,473,83.68275451660156
1777350001.264047,474,83.04428100585938
1777350009.5293074,475,83.00203704833984
1777350039.052168,477,83.25231170654297
1777350050.391633,478,82.72844696044922
1777350063.132284,479,83.3791732788086
1777350080.904281,481,83.61088562011719
1777350083.2983358,482,83.6439208984375
1777350095.6451766,483,84.0242691040039
1777350104.628109,484,83.66715240478516
1777350113.1015983,485,83.77798461914062
1777350147.994256,488,84.11285400390625
1777350170.117542,490,83.87601470947266
1777350178.484858,491,84.8734359741211
1777350207.2038188,493,84.87691497802734
1777350225.6918156,495,83.95753479003906
1777350253.0671496,497,83.4240493774414
1777350259.527825,498,83.04551696777344
1777350272.8081648,499,83.10284423828125
1777350360.4810247,501,83.15718841552734
1777350381.7882233,502,82.4710922241211
1777350389.0854192,503,82.36161041259766
1777350399.2035697,504,82.28988647460938
1777350435.2614017,506,82.00901794433594
1777350453.1442547,507,81.84440612792969
1777350459.7755456,508,82.2479248046875
1777350470.7899933,509,82.34164428710938
1777350504.399926,510,82.23025512695312
1777350512.637481,511,82.44169616699219
1777350520.708322,512,82.07359313964844
1777350523.397838,513,82.81674194335938
1777350585.0425797,517,82.17747497558594
1777350603.4397125,518,81.95667266845703
1777350657.850699,523,82.09149169921875
1777350692.840692,527,81.81098175048828
1777350707.5256274,528,82.80194854736328
1777350714.4286628,529,82.53762817382812
1777350728.2658808,530,82.50701141357422
1777350737.7059832,531,83.0239486694336
1777350746.8356612,532,82.26876831054688
1777350760.1992202,533,81.98420715332031
1777350766.6602612,534,83.36122131347656
1777350780.5283494,535,83.1656494140625
1777350792.474017,536,82.17263793945312
1777350811.1004207,537,82.77430725097656
1777350815.6941447,538,83.68362426757812
1777350827.9629653,539,83.43125915527344
1777350838.359432,540,83.25828552246094
1777350893.1911411,544,83.2154541015625
1777350907.3341234,545,82.83794403076172
1777350918.7670572,547,84.54808807373047
1777350945.6872315,549,82.65773010253906
1777351005.8630412,550,82.83744812011719
1777351012.3556495,551,82.3082046508789
1777351081.8391805,557,82.39937591552734
1777351088.8723588,558,82.40522003173828
1777351098.0158057,559,82.53540802001953
1777351118.0632544,561,83.11654663085938
1777351146.102411,563,82.36276245117188
1777351200.1162038,566,83.13566589355469
1777351213.6845894,568,84.49940490722656
1777351230.227796,570,82.78073120117188
1777351258.978574,574,83.23351287841797
1777351271.9748034,575,83.4094009399414
1777351288.475338,577,83.79888916015625
1777351299.0168688,578,83.236328125
1777351310.0506115,579,83.73978424072266
1777351328.5998583,580,83.51571655273438
1777351349.6065137,582,83.17212677001953
1777351368.4085891,584,81.6533432006836
1777351397.0991352,586,83.38871765136719
1777351412.8338935,587,83.59008026123047
1777351426.9971192,588,83.87906646728516
1777351445.126624,590,83.19608306884766
1777351468.2557201,592,84.85096740722656
1777351471.496082,593,84.61356353759766
1777351483.8546066,594,83.46273803710938
1777351498.0042338,595,82.90252685546875
1777351526.97715,597,84.18038177490234
1777351570.966482,599,83.48384094238281
1777351646.350404,601,83.4208984375
1777351672.1077456,604,82.84797668457031
1777351697.5727944,606,83.21295928955078
1777351723.353747,608,83.5712661743164
1777351739.7002583,609,83.34445190429688
1777351743.9575775,610,84.41952514648438
1777351764.080014,611,83.55050659179688
1777351799.6234388,613,83.01721954345703
1777351843.0128746,616,82.40228271484375
1777351852.3078759,617,82.89811706542969
1777351868.6406515,619,83.00364685058594
1777351879.080573,620,82.98988342285156
1777351898.6071851,622,82.31769561767578
1777351900.920875,623,82.9250259399414
1777351918.640597,625,82.9699478149414
1777351926.116403,626,82.35952758789062
1777351940.3,627,82.2708740234375
1777351990.7320964,631,83.00794219970703
1777351995.4458628,632,82.12711334228516
1777352003.133242,633,83.26368713378906
1777352011.6165173,634,82.982666015625
1777352017.150191,635,83.54907989501953
1777352031.6801112,637,84.49713897705078
1777352050.294407,638,83.281982421875
1777352079.4487333,640,82.249267578125
1777352095.250829,641,82.3846206665039
1777352108.4854152,642,82.4720230102539
1777352129.2578044,643,82.80447387695312
1777352136.4137657,644,81.68905639648438
1777352152.117371,646,81.0210952758789
1777352185.5046935,649,80.16492462158203
1777352247.0111835,650,81.6418685913086
1777352253.863379,651,80.53800964355469
1777352273.6342666,653,79.78242492675781
1777352341.142184,659,79.92475891113281
1777352347.5385406,660,80.15242004394531
1777352397.678499,664,80.33289337158203
1777352432.0908217,666,80.20783996582031
1777352439.3100972,667,79.58272552490234
1777352457.1417813,669,79.61231994628906
1777352485.3197234,673,79.57616424560547
1777352490.7716062,674,78.80621337890625
1777352500.4110956,675,79.4887466430664
1777352531.5825977,677,79.41777038574219
1777352547.0356247,678,79.76932525634766
1777352556.7396185,679,79.08780670166016
1777352564.7369106,680,79.63490295410156
1777352589.612486,684,78.96788787841797
1777352597.7958207,685,79.27570343017578
1777352607.9335742,686,79.00434875488281
1777352621.968155,687,79.02298736572266
1777352626.0888846,688,77.98500061035156
1777352661.5985243,690,79.05506896972656
1777352685.359083,693,77.99706268310547
1777352688.7773166,694,77.51985931396484
1777352738.422535,698,78.50923919677734
1777352753.0480776,699,78.83860778808594
1777352852.9077628,702,78.360107421875
1777352868.409207,703,77.71123504638672
1777352894.8266013,706,77.41602325439453
1777352912.9917796,709,77.8544692993164
1777352924.7131188,710,77.18732452392578
1777352940.2017877,711,77.51062774658203
1777352958.8316681,712,77.17769622802734
1777352994.7716208,714,77.09317016601562
1777353001.453045,715,76.99813079833984
1777353010.480152,716,77.53084564208984
1777353014.9823112,717,77.11255645751953
1777353029.0422316,718,76.92652893066406
1777353050.2905962,719,76.90705108642578
1777353083.0706117,720,76.87669372558594
1777353111.9229374,722,76.57965087890625
1777353121.9966002,723,76.59049987792969
1777353141.3066542,724,76.20771026611328
1777353164.963066,726,76.10370635986328
1777353230.0436573,730,74.89102935791016
1777353249.3647883,732,75.95333862304688
1777353261.847623,733,75.42573547363281
1777353269.158375,734,74.4107666015625
1777353276.4752588,735,74.83982849121094
1777353281.5586863,736,75.69926452636719
1777353328.583393,740,75.53015899658203
1777353355.5944936,743,75.03471374511719
1777353416.1499755,745,74.84600067138672
1777353428.703088,746,75.29833984375
1777353481.9049203,749,74.79466247558594
1777353591.7412868,751,73.67999267578125
1777353615.7586627,754,73.73088073730469
1777353632.181847,755,74.03900146484375
1777353660.802083,757,74.02420806884766
1777353668.2640767,758,74.31410217285156
1777353671.7203226,759,72.87966918945312
1777353695.8815007,761,73.84918212890625
1777353707.1600482,762,73.65381622314453
1777353713.8472552,763,73.77230834960938
1777353726.963376,764,73.45305633544922
1777353740.45143,765,73.43938446044922
1777353748.7742174,766,73.93153381347656
1777353781.8828528,768,73.51782989501953
1777353795.1553948,769,73.26683807373047
1777353802.6580117,770,72.3353500366211
1777353817.1351023,771,73.53387451171875
1777353850.1635408,773,72.11506652832031
1777353886.351128,775,72.4931640625
1777353928.351063,776,72.2189712524414
1777353942.1253488,778,72.10078430175781
1777353991.8486915,781,71.73686218261719
1777354011.7753,782,71.36387634277344
1777354023.438362,783,71.09540557861328
1777354047.7846038,785,71.58678436279297
1777354086.5089495,787,71.00259399414062
1777354092.7734241,788,71.19849395751953
1777354120.8172264,790,70.966064453125
1777354187.3180149,793,70.57035064697266
1777354208.8981419,794,70.33790588378906
1777354219.7296095,795,70.6873550415039
1777354228.7045338,796,70.53468322753906
1777354264.533345,797,69.9859390258789
1777354417.413481,802,70.22634887695312
1777354433.8814585,803,70.39375305175781
1777354438.9422276,804,69.21797180175781
1777354481.1549017,808,69.78900909423828
1777354520.2484024,810,69.3777084350586
1777354524.8820987,811,70.1794204711914
1777354542.5095215,813,69.26933288574219
1777354555.942905,814,69.72677612304688
1777354575.7004807,815,69.74627685546875
1777354593.0828366,817,68.94036865234375
1777354606.5610895,818,69.09595489501953
1777354611.6833305,819,69.29942321777344
1777354643.517183,822,68.43360137939453
1777354662.5214489,823,68.90048217773438
1777354690.404118,825,68.61604309082031
1777354705.0733101,826,68.13851928710938
1777354740.0125594,828,67.87218475341797
1777354747.065977,829,67.44259643554688
1777354754.163806,830,68.42091369628906
1777354763.85282,831,67.8033676147461
1777354779.1614728,833,67.54642486572266
1777354788.0514166,834,68.16580963134766
1777354791.1802225,835,67.93720245361328
1777354828.705882,840,68.1903305053711
1777354851.3346415,842,68.08311462402344
1777354881.94382,844,67.56683349609375
1777354894.5858042,845,67.61727905273438
1777354944.6569552,848,67.39592742919922
1777355018.0063214,850,67.09622192382812
1777355023.9780498,851,67.50830078125
1777355056.9780707,853,67.43177795410156
1777355065.2623317,855,67.66873168945312
1777355077.8388212,856,67.3983383178711
1777355102.0428324,858,67.06243133544922
1777355107.321222,859,66.4312744140625
1777355155.0468998,862,67.0978775024414
1777355265.4912648,870,65.79376983642578
1777355283.5505543,871,65.73497009277344
1777355289.715045,872,65.90100860595703
1777355294.142367,873,65.57328796386719
1777355301.079405,874,66.47027587890625
